2017-05-29 08:43:26,082 INFO  [org.infinispan.configuration.cache.EvictionConfigurationBuilder:114] (ServerService Thread Pool -- 69) ISPN000152: Passivation configured without an eviction policy being selected. Only manually evicted entities will be passivated.
2017-05-29 08:43:26,134 INFO  [org.apache.activemq.artemis.core.server:390] (ServerService Thread Pool -- 66) AMQ221000: live Message Broker is starting with configuration Broker Configuration (clustered=false,journalDirectory=/opt/jboss/wildfly/standalone/data/activemq/journal,bindingsDirectory=/opt/jboss/wildfly/standalone/data/activemq/bindings,largeMessagesDirectory=/opt/jboss/wildfly/standalone/data/activemq/largemessages,pagingDirectory=/opt/jboss/wildfly/standalone/data/activemq/paging)
2017-05-29 08:43:26,138 INFO  [org.apache.activemq.artemis.core.server:40] (ServerService Thread Pool -- 66) AMQ221006: Waiting to obtain live lock
2017-05-29 08:43:26,264 INFO  [org.wildfly.extension.undertow:128] (MSC service thread 1-2) WFLYUT0006: Undertow HTTPS listener https listening on 0.0.0.0:8443
2017-05-29 08:43:26,276 INFO  [org.apache.activemq.artemis.core.server:254] (ServerService Thread Pool -- 66) AMQ221013: Using NIO Journal
2017-05-29 08:43:26,680 INFO  [org.apache.activemq.artemis.core.server:150] (ServerService Thread Pool -- 66) AMQ221043: Protocol module found: [artemis-server]. Adding protocol support for: CORE
2017-05-29 08:43:26,775 INFO  [org.apache.activemq.artemis.core.server:178] (ServerService Thread Pool -- 66) AMQ221043: Protocol module found: [artemis-amqp-protocol]. Adding protocol support for: AMQP
2017-05-29 08:43:26,786 INFO  [org.apache.activemq.artemis.core.server:178] (ServerService Thread Pool -- 66) AMQ221043: Protocol module found: [artemis-hornetq-protocol]. Adding protocol support for: HORNETQ
2017-05-29 08:43:26,788 INFO  [org.apache.activemq.artemis.core.server:178] (ServerService Thread Pool -- 66) AMQ221043: Protocol module found: [artemis-stomp-protocol]. Adding protocol support for: STOMP
2017-05-29 08:43:27,009 INFO  [org.apache.activemq.artemis.core.server:165] (ServerService Thread Pool -- 66) AMQ221034: Waiting indefinitely to obtain live lock
